setup,event,feature_budget,block_length,best_mcc,best_balanced_accuracy,best_f1,min_fpr,selected_configuration
B,SPECTRE,5,400,0.7949082068699601,0.8907692307692308,0.8794456501353054,0.009230769230769232,0
B,SPECTRE,5,450,0.8721290898856772,0.9335450695704779,0.9298818177322851,0.010526315789473684,0
B,SPECTRE,5,500,0.7933839330241852,0.8884615384615385,0.875494879672299,0.011538461538461539,0
B,SPECTRE,5,550,0.9160738921471031,0.9572617946345977,0.9559840167886561,0.01285846438482886,0
B,SPECTRE,5,600,0.9115674002767348,0.9543554006968641,0.9525746723441484,0.009523809523809523,0
B,SPECTRE,5,650,0.9642914669112759,0.9820512820512821,0.9818847818847818,0.010256410256410256,0
B,SPECTRE,5,700,0.962485802173427,0.9807057057057058,0.9808106416275431,0.01096096096096096,0
B,SPECTRE,5,750,0.9711466321786786,0.9851158645276292,0.9851371635610766,0.011764705882352941,0
B,SPECTRE,5,800,0.980947554407145,0.9904233870967742,0.990373783922171,0.012701612903225806,0
B,SPECTRE,5,850,0.9861985395798989,0.9929802955665025,0.9931013975617009,0.013793103448275862,0
B,SPECTRE,5,900,0.9863218048917212,0.993103448275862,0.9932203389830508,0.013793103448275862,0
B,SPECTRE,5,950,0.9849001794597505,0.9923076923076923,0.9924528301886791,0.015384615384615385,0
B,SPECTRE,5,1000,0.9849001794597505,0.9923076923076923,0.9924528301886791,0.015384615384615385,0
B,SPECTRE,8,50,0.6263651099608286,0.7861538461538462,0.7315822902089923,0.01,0
B,SPECTRE,8,100,0.6366780842115654,0.7926923076923077,0.7418659451487997,0.01,0
B,SPECTRE,8,150,0.6922752971666494,0.8269277845777234,0.7920941496664753,0.009322725418196653,0
B,SPECTRE,8,200,0.671168799891508,0.8146153846153845,0.7754248944536213,0.01076923076923077,0
B,SPECTRE,8,250,0.7158391016724741,0.8432692307692307,0.8171328703533781,0.011538461538461539,0
B,SPECTRE,8,300,0.7647139923012961,0.8717510259917921,0.8546517359264788,0.011627906976744186,0
B,SPECTRE,8,350,0.8150156025999568,0.9011225266362253,0.8913194133867524,0.00821917808219178,0
B,SPECTRE,8,400,0.7976150638589902,0.8923076923076924,0.8814447809479955,0.009230769230769232,0
B,SPECTRE,8,450,0.8721290898856772,0.9335450695704779,0.9298818177322851,0.010405323653962493,0
B,SPECTRE,8,500,0.8000415353259094,0.8923076923076924,0.8803418946773149,0.011538461538461539,0
B,SPECTRE,8,550,0.9160738921471031,0.9572617946345977,0.9559840167886561,0.012765957446808512,0
B,SPECTRE,8,600,0.9063712349781043,0.9519163763066201,0.9501566184493013,0.009523809523809523,0
B,SPECTRE,8,650,0.9642914669112759,0.9820512820512821,0.9818847818847818,0.010256410256410256,0
B,SPECTRE,8,700,0.962485802173427,0.9807057057057058,0.9808106416275431,0.01096096096096096,0
B,SPECTRE,8,750,0.9711466321786786,0.9851158645276292,0.9851371635610766,0.011764705882352941,0
B,SPECTRE,8,800,0.974697554407145,0.9872983870967742,0.9873015873015873,0.012701612903225806,0
