setup,src,dst,rho,abs_rho,edge_stability,dependence_score,graph_method
A,Core0 (Socket 0).7_L3HIT,Core0 (Socket 0).9_L3MPI,-0.3346242540832782,0.3346242540832782,1.0,0.3346242540832782,stable_rank_precision
A,Core0 (Socket 0).7_L3HIT,Socket 0.7_L3HIT,0.15358491096454138,0.15358491096454138,1.0,0.15358491096454138,stable_rank_precision
A,Core0 (Socket 0).7_L3HIT,System.9_L3HIT,0.15358491096454333,0.15358491096454333,1.0,0.15358491096454333,stable_rank_precision
A,Core0 (Socket 0).8_L2HIT,Socket 0.8_L2HIT,0.14165421614328055,0.14165421614328055,1.0,0.14165421614328055,stable_rank_precision
A,Core0 (Socket 0).8_L2HIT,System.10_L2HIT,0.14165421614328344,0.14165421614328344,1.0,0.14165421614328344,stable_rank_precision
A,Core1 (Socket 0).10_L2MPI,Core1 (Socket 0).6_L2MISS,0.2916780092610977,0.2916780092610977,1.0,0.2916780092610977,stable_rank_precision
A,Core1 (Socket 0).10_L2MPI,Core1 (Socket 0).7_L3HIT,0.3502450841080308,0.3502450841080308,1.0,0.3502450841080308,stable_rank_precision
A,Core1 (Socket 0).10_L2MPI,Core1 (Socket 0).9_L3MPI,0.35300274022442046,0.35300274022442046,1.0,0.35300274022442046,stable_rank_precision
A,Core1 (Socket 0).11_C0res%,Core1 (Socket 0).12_C1res%,-0.5766934124917056,0.5766934124917056,1.0,0.5766934124917056,stable_rank_precision
A,Core1 (Socket 0).11_C0res%,Core1 (Socket 0).14_C6res%,-0.12497288234712647,0.12497288234712647,1.0,0.12497288234712647,stable_rank_precision
A,Core1 (Socket 0).11_C0res%,Core1 (Socket 0).2_FREQ,0.31624238234676705,0.31624238234676705,1.0,0.31624238234676705,stable_rank_precision
A,Core1 (Socket 0).11_C0res%,SKT0 Core C-State_C0res%,0.14164506089251544,0.14164506089251544,1.0,0.14164506089251544,stable_rank_precision
A,Core1 (Socket 0).11_C0res%,System Core C-States_C0res%,0.14164506089251563,0.14164506089251563,1.0,0.14164506089251563,stable_rank_precision
A,Core1 (Socket 0).12_C1res%,Core1 (Socket 0).14_C6res%,-0.12329549021433098,0.12329549021433098,0.5,0.06164774510716549,stable_rank_precision
A,Core1 (Socket 0).12_C1res%,Core1 (Socket 0).18_ACYC,-0.14955679625273777,0.14955679625273777,1.0,0.14955679625273777,stable_rank_precision
A,Core1 (Socket 0).12_C1res%,Core1 (Socket 0).2_FREQ,-0.1611289754808249,0.1611289754808249,1.0,0.1611289754808249,stable_rank_precision
A,Core1 (Socket 0).12_C1res%,SKT0 Core C-State.1_C1res%,0.13196575456532247,0.13196575456532247,1.0,0.13196575456532247,stable_rank_precision
A,Core1 (Socket 0).12_C1res%,System Core C-States.1_C1res%,0.13196575456532197,0.13196575456532197,1.0,0.13196575456532197,stable_rank_precision
A,Core1 (Socket 0).14_C6res%,Core1 (Socket 0).15_C7res%,-0.19059537718601977,0.19059537718601977,1.0,0.19059537718601977,stable_rank_precision
