setup,feature,domain,graph_centrality,edge_stability,conditional_dependence,cias_alignment,telemetry_cost,hardware_cost_penalty,droop_anchor_score,importance_score,graph_method
A,Core2 (Socket 0).19_TIME(ticks),CORE,0.46627105869455826,0.4444444444444444,0.46627105869455826,0.48945166344773283,1.0,0.8333333333333334,0.0,0.56627528692771,stable_rank_precision
A,Core2 (Socket 0).1_IPC,CORE,0.34876696884153474,0.2222222222222222,0.34876696884153474,0.08501439877978599,1.0,0.8333333333333334,0.0,0.32164967881434897,stable_rank_precision
A,Core2 (Socket 0).20_PhysIPC,CORE,0.3487669688415355,0.2222222222222222,0.3487669688415355,0.08501439877978599,1.0,0.8333333333333334,0.0,0.32164967881434947,stable_rank_precision
A,Core2 (Socket 0).21_PhysIPC%,CORE,0.3374894352671894,0.2222222222222222,0.3374894352671894,0.0786889701973938,1.0,0.8333333333333334,0.0,0.31256430830024834,stable_rank_precision
A,Core2 (Socket 0).22_INSTnom,CORE,0.3613963174302889,0.3333333333333333,0.3613963174302889,0.1509307732405143,1.0,0.8333333333333334,0.0,0.37993441313302406,stable_rank_precision
A,Core2 (Socket 0).23_INSTnom%,CORE,0.3613027466073105,0.3333333333333333,0.3613027466073105,0.14272141184289844,1.0,0.8333333333333334,0.0,0.37787427052495254,stable_rank_precision
A,Core2 (Socket 0).2_FREQ,CORE,0.473123060511456,0.4444444444444444,0.473123060511456,0.2846537261572112,1.0,0.8333333333333334,0.35,0.5210280794418017,stable_rank_precision
A,Core2 (Socket 0).3_AFREQ,CORE,0.13764991045911365,0.1111111111111111,0.13764991045911365,0.04626634239589256,1.0,0.8333333333333334,0.35,0.1371596360178943,stable_rank_precision
A,Core2 (Socket 0).4_CFREQ,CORE,0.13764991045911365,0.1111111111111111,0.13764991045911365,0.052071118755190014,1.0,0.8333333333333334,0.35,0.13857207459695334,stable_rank_precision
A,Core2 (Socket 0).5_L3MISS,MEMORY,0.5409617173185542,0.5555555555555556,0.5409617173185542,0.16989628712292174,1.08,0.9000000000000001,0.0,0.5299012634348566,stable_rank_precision
A,Core2 (Socket 0).6_L2MISS,MEMORY,0.5095194691929497,0.5555555555555556,0.5095194691929497,0.27538011498001086,1.08,0.9000000000000001,0.0,0.5341859304025991,stable_rank_precision
A,Core2 (Socket 0).7_L3HIT,MEMORY,0.5332893688592529,0.4444444444444444,0.5332893688592529,0.11353644004726993,1.08,0.9000000000000001,0.0,0.48115822537395564,stable_rank_precision
A,Core2 (Socket 0).8_L2HIT,MEMORY,0.25217010055206623,0.3333333333333333,0.25217010055206623,0.09840832528913902,1.08,0.9000000000000001,0.0,0.2722841413783541,stable_rank_precision
A,Core2 (Socket 0).9_L3MPI,MEMORY,0.4331358358716591,0.3333333333333333,0.4331358358716591,0.3609849521946503,1.08,0.9000000000000001,0.0,0.44356415845252095,stable_rank_precision
A,Core2 (Socket 0)_EXEC,CORE,0.36139631743028916,0.3333333333333333,0.36139631743028916,0.1509307732405143,1.0,0.8333333333333334,0.0,0.3799344131330243,stable_rank_precision
A,Core3 (Socket 0).10_L2MPI,MEMORY,0.5193180352612018,0.3333333333333333,0.5193180352612018,0.399338373993153,1.08,0.9000000000000001,0.0,0.5056013965437438,stable_rank_precision
A,Core3 (Socket 0).11_C0res%,CORE,0.5821417536154492,0.4444444444444444,0.5821417536154492,0.05325144009366162,1.0,0.8333333333333334,0.35,0.5376711936365475,stable_rank_precision
A,Core3 (Socket 0).12_C1res%,CORE,0.6083400258909059,0.5416666666666666,0.6165470130869641,0.08778076073529445,1.0,0.8333333333333334,0.35,0.5951708111585122,stable_rank_precision
A,Core3 (Socket 0).14_C6res%,CORE,0.9309436635702154,0.8888888888888888,0.9309436635702154,0.07673817136880255,1.0,0.8333333333333334,0.35,0.9119629895707044,stable_rank_precision
A,Core3 (Socket 0).15_C7res%,CORE,0.6936922104132225,0.7638888888888888,0.7018991976092809,0.17390910990898217,1.0,0.8333333333333334,0.35,0.7408302604894441,stable_rank_precision
A,Core3 (Socket 0).16_TEMP,SENSOR,0.316461746475745,0.3333333333333333,0.316461746475745,0.21505696666826551,1.2,1.0,0.25,0.30455860016383624,stable_rank_precision
A,Core3 (Socket 0).17_INST,CORE,0.5626072065482521,0.6666666666666666,0.5626072065482521,0.3477295923862202,1.0,0.8333333333333334,0.0,0.6638431769589785,stable_rank_precision
A,Core3 (Socket 0).18_ACYC,CORE,0.5590995605096735,0.5555555555555556,0.5590995605096735,0.383467934224854,1.0,0.8333333333333334,0.0,0.6363971183416268,stable_rank_precision
A,Core3 (Socket 0).19_TIME(ticks),CORE,0.4662710586945553,0.4444444444444444,0.4662710586945553,0.48945166344773283,1.0,0.8333333333333334,0.0,0.566275286927708,stable_rank_precision
A,Core3 (Socket 0).1_IPC,CORE,0.3495176684895004,0.2222222222222222,0.3495176684895004,0.09045805884762516,1.0,0.8333333333333334,0.0,0.32347657221745363,stable_rank_precision
A,Core3 (Socket 0).20_PhysIPC,CORE,0.34951766848950033,0.2222222222222222,0.34951766848950033,0.09045805884762516,1.0,0.8333333333333334,0.0,0.32347657221745363,stable_rank_precision
A,Core3 (Socket 0).21_PhysIPC%,CORE,0.3445047620165673,0.2222222222222222,0.3445047620165673,0.08718671966191922,1.0,0.8333333333333334,0.0,0.3193262439286901,stable_rank_precision
A,Core3 (Socket 0).22_INSTnom,CORE,0.35386977817762977,0.3333333333333333,0.35386977817762977,0.14019179237195567,1.0,0.8333333333333334,0.0,0.3722850606429203,stable_rank_precision
A,Core3 (Socket 0).23_INSTnom%,CORE,0.35386057233039475,0.3333333333333333,0.35386057233039475,0.1359201915596105,1.0,0.8333333333333334,0.0,0.3712395197273101,stable_rank_precision
A,Core3 (Socket 0).2_FREQ,CORE,0.4788719541557796,0.4444444444444444,0.4788719541557796,0.1292752718706208,1.0,0.8333333333333334,0.35,0.48706766076774183,stable_rank_precision
A,Core3 (Socket 0).3_AFREQ,CORE,0.13577512193083183,0.1111111111111111,0.13577512193083183,0.027619674083214207,1.0,0.8333333333333334,0.35,0.1313679678056585,stable_rank_precision
A,Core3 (Socket 0).4_CFREQ,CORE,0.13577512193083183,0.1111111111111111,0.13577512193083183,0.04654740624859532,1.0,0.8333333333333334,0.35,0.1359735300994858,stable_rank_precision
A,Core3 (Socket 0).5_L3MISS,MEMORY,0.508760586779414,0.5555555555555556,0.508760586779414,0.14588207555777644,1.08,0.9000000000000001,0.0,0.5045398968186661,stable_rank_precision
A,Core3 (Socket 0).6_L2MISS,MEMORY,0.5223669252757247,0.5555555555555556,0.5223669252757247,0.3279130626198902,1.08,0.9000000000000001,0.0,0.5539815265323842,stable_rank_precision
A,Core3 (Socket 0).7_L3HIT,MEMORY,0.5865791568287505,0.5555555555555556,0.5865791568287505,0.19742105739458715,1.08,0.9000000000000001,0.0,0.5643659503587298,stable_rank_precision
A,Core3 (Socket 0).8_L2HIT,MEMORY,0.2806773606758644,0.3333333333333333,0.2806773606758644,0.19418007610502533,1.08,0.9000000000000001,0.0,0.31152382407919416,stable_rank_precision
A,Core3 (Socket 0).9_L3MPI,MEMORY,0.43754625416220233,0.3333333333333333,0.43754625416220233,0.40013962471111963,1.08,0.9000000000000001,0.0,0.4551182679835135,stable_rank_precision
A,Core3 (Socket 0)_EXEC,CORE,0.3538697781776288,0.3333333333333333,0.3538697781776288,0.14019179237195567,1.0,0.8333333333333334,0.0,0.37228506064291966,stable_rank_precision
A,Power Plane 0 Energy (Joules)_SKT0,SENSOR,0.09044412685552698,0.1111111111111111,0.09044412685552698,0.502381276022797,1.2,1.0,0.45,0.18046321845838403,stable_rank_precision
A,Proc Energy (Joules)_SKT0,SENSOR,0.47310677637471543,0.1111111111111111,0.47310677637471543,0.40244883817792765,1.2,1.0,0.45,0.37357892192198816,stable_rank_precision
A,SKT0 Core C-State.1_C1res%,CORE,0.39583444169157916,0.2222222222222222,0.39583444169157916,0.27254895209026536,1.0,0.8333333333333334,0.35,0.3987759581211884,stable_rank_precision
A,SKT0 Core C-State.3_C6res%,CORE,0.8153320349986469,0.5555555555555556,0.8153320349986469,0.2507002475066818,1.0,0.8333333333333334,0.35,0.7755469297580548,stable_rank_precision
A,SKT0 Core C-State.4_C7res%,CORE,0.7968625707618092,0.5555555555555556,0.7968625707618092,0.26734815118327215,1.0,0.8333333333333334,0.35,0.7672391051126145,stable_rank_precision
A,SKT0 Core C-State_C0res%,CORE,0.5179852962885131,0.4444444444444444,0.5179852962885131,0.38080055299325083,1.0,0.8333333333333334,0.35,0.5744419644582672,stable_rank_precision
A,Socket 0.10_L2MPI,MEMORY,0.2828479643708899,0.1111111111111111,0.2828479643708899,0.5278402099198323,1.08,0.9000000000000001,0.0,0.32545894281916404,stable_rank_precision
A,Socket 0.11_READ,CORE,0.39069293379271586,0.1111111111111111,0.39069293379271586,0.4746847537535833,1.0,0.8333333333333334,0.0,0.41072503229920343,stable_rank_precision
A,Socket 0.12_WRITE,CORE,0.4640843502434304,0.1111111111111111,0.4640843502434304,0.07784973347991538,1.0,0.8333333333333334,0.0,0.3632748484852488,stable_rank_precision
A,Socket 0.1_IPC,CORE,0.34766826442563975,0.3333333333333333,0.34766826442563975,0.18884448139057755,1.0,0.8333333333333334,0.0,0.37997372506075255,stable_rank_precision
A,Socket 0.2_FREQ,CORE,0.23288027555735363,0.1111111111111111,0.23288027555735363,0.48664487221555686,1.0,0.8333333333333334,0.35,0.3080365015176472,stable_rank_precision
A,Socket 0.4_CFREQ,CORE,0.4998342058990647,0.1111111111111111,0.4998342058990647,0.03597823280589841,1.0,0.8333333333333334,0.35,0.3770081741624237,stable_rank_precision
A,Socket 0.5_L3MISS,MEMORY,0.4241585938727571,0.1111111111111111,0.4241585938727571,1.0,1.08,0.9000000000000001,0.0,0.5193886890875279,stable_rank_precision
A,Socket 0.6_L2MISS,MEMORY,0.3146395181116294,0.1111111111111111,0.3146395181116294,0.8082032674137187,1.08,0.9000000000000001,0.0,0.4083218259194292,stable_rank_precision
A,Socket 0.7_L3HIT,MEMORY,0.5287970483877859,0.3333333333333333,0.5287970483877859,0.20424337467251094,1.08,0.9000000000000001,0.0,0.46751952888914833,stable_rank_precision
A,Socket 0.8_L2HIT,MEMORY,0.6866009259900283,0.5555555555555556,0.6866009259900283,0.16735092497352924,1.08,0.9000000000000001,0.0,0.6195620268026695,stable_rank_precision
A,Socket 0.9_L3MPI,MEMORY,0.36802996625650086,0.1111111111111111,0.36802996625650086,0.6028353665248196,1.08,0.9000000000000001,0.0,0.3951318511283225,stable_rank_precision
A,Socket 0_EXEC,CORE,0.32520040209775086,0.3333333333333333,0.32520040209775086,0.21928219405867397,1.0,0.8333333333333334,0.0,0.3723457984420442,stable_rank_precision
A,System Core C-States.1_C1res%,CORE,0.39583444169157894,0.2222222222222222,0.39583444169157894,0.27254895209026536,1.0,0.8333333333333334,0.35,0.3987759581211882,stable_rank_precision
A,System Core C-States.3_C6res%,CORE,0.8153320349986467,0.5555555555555556,0.8153320349986467,0.2507002475066818,1.0,0.8333333333333334,0.35,0.7755469297580548,stable_rank_precision
A,System Core C-States.4_C7res%,CORE,0.7968625707618089,0.5555555555555556,0.7968625707618089,0.26734815118327215,1.0,0.8333333333333334,0.35,0.7672391051126143,stable_rank_precision
A,System Core C-States_C0res%,CORE,0.5179852962885125,0.4444444444444444,0.5179852962885125,0.38080055299325083,1.0,0.8333333333333334,0.35,0.5744419644582667,stable_rank_precision
A,System.10_L2HIT,MEMORY,0.6866009259900304,0.5555555555555556,0.6866009259900304,0.16735092497352924,1.08,0.9000000000000001,0.0,0.6195620268026706,stable_rank_precision
A,System.11_L3MPI,MEMORY,0.36802996625650086,0.1111111111111111,0.36802996625650086,0.6028353665248196,1.08,0.9000000000000001,0.0,0.3951318511283225,stable_rank_precision
A,System.12_L2MPI,MEMORY,0.2828479643708899,0.1111111111111111,0.2828479643708899,0.5278402099198323,1.08,0.9000000000000001,0.0,0.32545894281916404,stable_rank_precision
A,System.13_READ,CORE,0.39069293379271586,0.1111111111111111,0.39069293379271586,0.4746847537535833,1.0,0.8333333333333334,0.0,0.41072503229920343,stable_rank_precision
A,System.14_WRITE,CORE,0.4640843502434304,0.1111111111111111,0.4640843502434304,0.07784973347991538,1.0,0.8333333333333334,0.0,0.3632748484852488,stable_rank_precision
A,System.15_INST,CORE,0.39872078990379206,0.4444444444444444,0.39872078990379206,0.33882358555999914,1.0,0.8333333333333334,0.0,0.48442336973570493,stable_rank_precision
A,System.16_ACYC,CORE,0.4814257503378545,0.4444444444444444,0.4814257503378545,0.7279126026719642,1.0,0.8333333333333334,0.0,0.6344390457493094,stable_rank_precision
A,System.17_TIME(ticks),CORE,0.46627105869455643,0.4444444444444444,0.46627105869455643,0.48945166344773283,1.0,0.8333333333333334,0.0,0.5662752869277088,stable_rank_precision
A,System.18_PhysIPC,CORE,0.34766826442564047,0.3333333333333333,0.34766826442564047,0.18884448139057755,1.0,0.8333333333333334,0.0,0.37997372506075305,stable_rank_precision
A,System.19_PhysIPC%,CORE,0.3166702457162045,0.3333333333333333,0.3166702457162045,0.1883214750215364,1.0,0.8333333333333334,0.0,0.3591044615442357,stable_rank_precision
A,System.20_INSTnom,CORE,0.3252004020977522,0.3333333333333333,0.3252004020977522,0.21928219405867397,1.0,0.8333333333333334,0.0,0.3723457984420451,stable_rank_precision
