CITADEL notebook progress log
seed=123 threads=1 preset=full
[2026-06-01 22:35:51] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 9/52 (17.3%) | elapsed=13.4s | DDR4_DROOP_ni.csv: cols=421
[2026-06-01 22:35:52] | [DROOP-adaptive CINTAS] | loading source telemetry | 10/52 (19.2%) | elapsed=14.6s | DDR4_DROOP_oe.csv
[2026-06-01 22:35:52] | [DROOP-adaptive CINTAS] | adding transient features | 10/52 (19.2%) | elapsed=14.7s | DDR4_DROOP_oe.csv: rows=10,000 cols=181
[2026-06-01 22:35:53] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 10/52 (19.2%) | elapsed=14.9s | DDR4_DROOP_oe.csv: cols=421
[2026-06-01 22:35:54] | [DROOP-adaptive CINTAS] | loading source telemetry | 11/52 (21.2%) | elapsed=16.2s | DDR4_DROOP_pi.csv
[2026-06-01 22:35:54] | [DROOP-adaptive CINTAS] | adding transient features | 11/52 (21.2%) | elapsed=16.3s | DDR4_DROOP_pi.csv: rows=10,000 cols=181
[2026-06-01 22:35:54] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 11/52 (21.2%) | elapsed=16.6s | DDR4_DROOP_pi.csv: cols=421
[2026-06-01 22:35:56] | [DROOP-adaptive CINTAS] | loading source telemetry | 12/52 (23.1%) | elapsed=17.8s | DDR4_DROOP_sh.csv
[2026-06-01 22:35:56] | [DROOP-adaptive CINTAS] | adding transient features | 12/52 (23.1%) | elapsed=17.9s | DDR4_DROOP_sh.csv: rows=10,000 cols=181
[2026-06-01 22:35:56] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 12/52 (23.1%) | elapsed=18.1s | DDR4_DROOP_sh.csv: cols=421
[2026-06-01 22:35:57] | [DROOP-adaptive CINTAS] | loading source telemetry | 13/52 (25.0%) | elapsed=19.3s | DDR4_DROOP_tr.csv
[2026-06-01 22:35:57] | [DROOP-adaptive CINTAS] | adding transient features | 13/52 (25.0%) | elapsed=19.4s | DDR4_DROOP_tr.csv: rows=10,000 cols=181
[2026-06-01 22:35:57] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 13/52 (25.0%) | elapsed=19.7s | DDR4_DROOP_tr.csv: cols=421
[2026-06-01 22:35:59] | [DROOP-adaptive CINTAS] | loading source telemetry | 14/52 (26.9%) | elapsed=21.0s | DDR4_benign_dft.csv
[2026-06-01 22:35:59] | [DROOP-adaptive CINTAS] | adding transient features | 14/52 (26.9%) | elapsed=21.0s | DDR4_benign_dft.csv: rows=10,000 cols=181
[2026-06-01 22:35:59] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 14/52 (26.9%) | elapsed=21.3s | DDR4_benign_dft.csv: cols=421
[2026-06-01 22:36:00] | [DROOP-adaptive CINTAS] | loading source telemetry | 15/52 (28.8%) | elapsed=22.5s | DDR4_benign_dj.csv
[2026-06-01 22:36:00] | [DROOP-adaptive CINTAS] | adding transient features | 15/52 (28.8%) | elapsed=22.5s | DDR4_benign_dj.csv: rows=10,000 cols=181
[2026-06-01 22:36:01] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 15/52 (28.8%) | elapsed=22.8s | DDR4_benign_dj.csv: cols=421
[2026-06-01 22:36:02] | [DROOP-adaptive CINTAS] | loading source telemetry | 16/52 (30.8%) | elapsed=24.2s | DDR4_benign_dp.csv
[2026-06-01 22:36:02] | [DROOP-adaptive CINTAS] | adding transient features | 16/52 (30.8%) | elapsed=24.2s | DDR4_benign_dp.csv: rows=10,000 cols=181
[2026-06-01 22:36:02] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 16/52 (30.8%) | elapsed=24.5s | DDR4_benign_dp.csv: cols=421
[2026-06-01 22:36:04] | [DROOP-adaptive CINTAS] | loading source telemetry | 17/52 (32.7%) | elapsed=25.8s | DDR4_benign_gl.csv
[2026-06-01 22:36:04] | [DROOP-adaptive CINTAS] | adding transient features | 17/52 (32.7%) | elapsed=25.9s | DDR4_benign_gl.csv: rows=10,000 cols=181
[2026-06-01 22:36:04] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 17/52 (32.7%) | elapsed=26.2s | DDR4_benign_gl.csv: cols=421
[2026-06-01 22:36:05] | [DROOP-adaptive CINTAS] | loading source telemetry | 18/52 (34.6%) | elapsed=27.6s | DDR4_benign_gs.csv
[2026-06-01 22:36:05] | [DROOP-adaptive CINTAS] | adding transient features | 18/52 (34.6%) | elapsed=27.6s | DDR4_benign_gs.csv: rows=10,000 cols=181
[2026-06-01 22:36:06] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 18/52 (34.6%) | elapsed=27.9s | DDR4_benign_gs.csv: cols=421
[2026-06-01 22:36:07] | [DROOP-adaptive CINTAS] | loading source telemetry | 19/52 (36.5%) | elapsed=29.3s | DDR4_benign_ha.csv
[2026-06-01 22:36:07] | [DROOP-adaptive CINTAS] | adding transient features | 19/52 (36.5%) | elapsed=29.4s | DDR4_benign_ha.csv: rows=10,000 cols=181
[2026-06-01 22:36:07] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 19/52 (36.5%) | elapsed=29.6s | DDR4_benign_ha.csv: cols=421
[2026-06-01 22:36:09] | [DROOP-adaptive CINTAS] | loading source telemetry | 20/52 (38.5%) | elapsed=30.8s | DDR4_benign_ja.csv
[2026-06-01 22:36:09] | [DROOP-adaptive CINTAS] | adding transient features | 20/52 (38.5%) | elapsed=30.9s | DDR4_benign_ja.csv: rows=10,000 cols=181
[2026-06-01 22:36:09] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 20/52 (38.5%) | elapsed=31.2s | DDR4_benign_ja.csv: cols=421
[2026-06-01 22:36:10] | [DROOP-adaptive CINTAS] | loading source telemetry | 21/52 (40.4%) | elapsed=32.6s | DDR4_benign_mm.csv
[2026-06-01 22:36:10] | [DROOP-adaptive CINTAS] | adding transient features | 21/52 (40.4%) | elapsed=32.6s | DDR4_benign_mm.csv: rows=10,000 cols=181
[2026-06-01 22:36:11] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 21/52 (40.4%) | elapsed=32.9s | DDR4_benign_mm.csv: cols=421
[2026-06-01 22:36:12] | [DROOP-adaptive CINTAS] | loading source telemetry | 22/52 (42.3%) | elapsed=34.2s | DDR4_benign_ni.csv
[2026-06-01 22:36:12] | [DROOP-adaptive CINTAS] | adding transient features | 22/52 (42.3%) | elapsed=34.2s | DDR4_benign_ni.csv: rows=10,000 cols=181
[2026-06-01 22:36:12] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 22/52 (42.3%) | elapsed=34.6s | DDR4_benign_ni.csv: cols=421
[2026-06-01 22:36:14] | [DROOP-adaptive CINTAS] | loading source telemetry | 23/52 (44.2%) | elapsed=35.9s | DDR4_benign_oe.csv
[2026-06-01 22:36:14] | [DROOP-adaptive CINTAS] | adding transient features | 23/52 (44.2%) | elapsed=35.9s | DDR4_benign_oe.csv: rows=10,000 cols=181
[2026-06-01 22:36:14] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 23/52 (44.2%) | elapsed=36.2s | DDR4_benign_oe.csv: cols=421
[2026-06-01 22:36:15] | [DROOP-adaptive CINTAS] | loading source telemetry | 24/52 (46.2%) | elapsed=37.6s | DDR4_benign_pi.csv
[2026-06-01 22:36:15] | [DROOP-adaptive CINTAS] | adding transient features | 24/52 (46.2%) | elapsed=37.6s | DDR4_benign_pi.csv: rows=10,000 cols=181
[2026-06-01 22:36:16] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 24/52 (46.2%) | elapsed=37.9s | DDR4_benign_pi.csv: cols=421
[2026-06-01 22:36:17] | [DROOP-adaptive CINTAS] | loading source telemetry | 25/52 (48.1%) | elapsed=39.2s | DDR4_benign_sh.csv
[2026-06-01 22:36:17] | [DROOP-adaptive CINTAS] | adding transient features | 25/52 (48.1%) | elapsed=39.2s | DDR4_benign_sh.csv: rows=10,000 cols=181
[2026-06-01 22:36:17] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 25/52 (48.1%) | elapsed=39.5s | DDR4_benign_sh.csv: cols=421
[2026-06-01 22:36:19] | [DROOP-adaptive CINTAS] | loading source telemetry | 26/52 (50.0%) | elapsed=40.8s | DDR4_benign_tr.csv
[2026-06-01 22:36:19] | [DROOP-adaptive CINTAS] | adding transient features | 26/52 (50.0%) | elapsed=40.8s | DDR4_benign_tr.csv: rows=10,000 cols=181
[2026-06-01 22:36:19] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 26/52 (50.0%) | elapsed=41.1s | DDR4_benign_tr.csv: cols=421
[2026-06-01 22:36:20] | [DROOP-adaptive CINTAS] | loading source telemetry | 27/52 (51.9%) | elapsed=42.5s | DDR5_DROOP_dft.csv
[2026-06-01 22:36:20] | [DROOP-adaptive CINTAS] | adding transient features | 27/52 (51.9%) | elapsed=42.6s | DDR5_DROOP_dft.csv: rows=10,000 cols=460
[2026-06-01 22:36:21] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 27/52 (51.9%) | elapsed=42.9s | DDR5_DROOP_dft.csv: cols=700
[2026-06-01 22:36:23] | [DROOP-adaptive CINTAS] | loading source telemetry | 28/52 (53.8%) | elapsed=44.9s | DDR5_DROOP_dj.csv
[2026-06-01 22:36:23] | [DROOP-adaptive CINTAS] | adding transient features | 28/52 (53.8%) | elapsed=45.1s | DDR5_DROOP_dj.csv: rows=10,000 cols=460
[2026-06-01 22:36:23] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 28/52 (53.8%) | elapsed=45.3s | DDR5_DROOP_dj.csv: cols=700
[2026-06-01 22:36:25] | [DROOP-adaptive CINTAS] | loading source telemetry | 29/52 (55.8%) | elapsed=47.5s | DDR5_DROOP_dp.csv
[2026-06-01 22:36:25] | [DROOP-adaptive CINTAS] | adding transient features | 29/52 (55.8%) | elapsed=47.7s | DDR5_DROOP_dp.csv: rows=10,000 cols=460
[2026-06-01 22:36:26] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 29/52 (55.8%) | elapsed=48.0s | DDR5_DROOP_dp.csv: cols=700
[2026-06-01 22:36:28] | [DROOP-adaptive CINTAS] | loading source telemetry | 30/52 (57.7%) | elapsed=49.9s | DDR5_DROOP_gl.csv
[2026-06-01 22:36:28] | [DROOP-adaptive CINTAS] | adding transient features | 30/52 (57.7%) | elapsed=50.1s | DDR5_DROOP_gl.csv: rows=10,000 cols=460
[2026-06-01 22:36:28] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 30/52 (57.7%) | elapsed=50.4s | DDR5_DROOP_gl.csv: cols=700
[2026-06-01 22:36:30] | [DROOP-adaptive CINTAS] | loading source telemetry | 31/52 (59.6%) | elapsed=52.6s | DDR5_DROOP_gs.csv
[2026-06-01 22:36:31] | [DROOP-adaptive CINTAS] | adding transient features | 31/52 (59.6%) | elapsed=52.7s | DDR5_DROOP_gs.csv: rows=10,000 cols=460
[2026-06-01 22:36:31] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 31/52 (59.6%) | elapsed=53.1s | DDR5_DROOP_gs.csv: cols=700
[2026-06-01 22:36:33] | [DROOP-adaptive CINTAS] | loading source telemetry | 32/52 (61.5%) | elapsed=55.2s | DDR5_DROOP_ha.csv
[2026-06-01 22:36:33] | [DROOP-adaptive CINTAS] | adding transient features | 32/52 (61.5%) | elapsed=55.4s | DDR5_DROOP_ha.csv: rows=10,000 cols=460
[2026-06-01 22:36:33] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 32/52 (61.5%) | elapsed=55.6s | DDR5_DROOP_ha.csv: cols=700
[2026-06-01 22:36:35] | [DROOP-adaptive CINTAS] | loading source telemetry | 33/52 (63.5%) | elapsed=57.6s | DDR5_DROOP_ja.csv
[2026-06-01 22:36:36] | [DROOP-adaptive CINTAS] | adding transient features | 33/52 (63.5%) | elapsed=57.8s | DDR5_DROOP_ja.csv: rows=10,000 cols=460
[2026-06-01 22:36:36] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 33/52 (63.5%) | elapsed=58.1s | DDR5_DROOP_ja.csv: cols=700
[2026-06-01 22:36:38] | [DROOP-adaptive CINTAS] | loading source telemetry | 34/52 (65.4%) | elapsed=60.6s | DDR5_DROOP_mm.csv
[2026-06-01 22:36:39] | [DROOP-adaptive CINTAS] | adding transient features | 34/52 (65.4%) | elapsed=60.7s | DDR5_DROOP_mm.csv: rows=10,000 cols=460
[2026-06-01 22:36:39] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 34/52 (65.4%) | elapsed=61.0s | DDR5_DROOP_mm.csv: cols=700
[2026-06-01 22:36:41] | [DROOP-adaptive CINTAS] | loading source telemetry | 35/52 (67.3%) | elapsed=63.2s | DDR5_DROOP_ni.csv
[2026-06-01 22:36:41] | [DROOP-adaptive CINTAS] | adding transient features | 35/52 (67.3%) | elapsed=63.4s | DDR5_DROOP_ni.csv: rows=10,000 cols=460
[2026-06-01 22:36:41] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 35/52 (67.3%) | elapsed=63.7s | DDR5_DROOP_ni.csv: cols=700
[2026-06-01 22:36:43] | [DROOP-adaptive CINTAS] | loading source telemetry | 36/52 (69.2%) | elapsed=65.7s | DDR5_DROOP_oe.csv
[2026-06-01 22:36:44] | [DROOP-adaptive CINTAS] | adding transient features | 36/52 (69.2%) | elapsed=65.9s | DDR5_DROOP_oe.csv: rows=10,000 cols=460
[2026-06-01 22:36:44] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 36/52 (69.2%) | elapsed=66.1s | DDR5_DROOP_oe.csv: cols=700
[2026-06-01 22:36:46] | [DROOP-adaptive CINTAS] | loading source telemetry | 37/52 (71.2%) | elapsed=68.3s | DDR5_DROOP_pi.csv
[2026-06-01 22:36:46] | [DROOP-adaptive CINTAS] | adding transient features | 37/52 (71.2%) | elapsed=68.4s | DDR5_DROOP_pi.csv: rows=10,000 cols=460
[2026-06-01 22:36:47] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 37/52 (71.2%) | elapsed=68.7s | DDR5_DROOP_pi.csv: cols=700
[2026-06-01 22:36:49] | [DROOP-adaptive CINTAS] | loading source telemetry | 38/52 (73.1%) | elapsed=70.7s | DDR5_DROOP_sh.csv
[2026-06-01 22:36:49] | [DROOP-adaptive CINTAS] | adding transient features | 38/52 (73.1%) | elapsed=70.9s | DDR5_DROOP_sh.csv: rows=10,000 cols=460
[2026-06-01 22:36:49] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 38/52 (73.1%) | elapsed=71.2s | DDR5_DROOP_sh.csv: cols=700
[2026-06-01 22:36:51] | [DROOP-adaptive CINTAS] | loading source telemetry | 39/52 (75.0%) | elapsed=73.1s | DDR5_DROOP_tr.csv
[2026-06-01 22:36:51] | [DROOP-adaptive CINTAS] | adding transient features | 39/52 (75.0%) | elapsed=73.3s | DDR5_DROOP_tr.csv: rows=10,000 cols=460
[2026-06-01 22:36:51] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 39/52 (75.0%) | elapsed=73.6s | DDR5_DROOP_tr.csv: cols=700
[2026-06-01 22:36:54] | [DROOP-adaptive CINTAS] | loading source telemetry | 40/52 (76.9%) | elapsed=75.8s | DDR5_benign_dft.csv
[2026-06-01 22:36:54] | [DROOP-adaptive CINTAS] | adding transient features | 40/52 (76.9%) | elapsed=75.9s | DDR5_benign_dft.csv: rows=10,000 cols=460
[2026-06-01 22:36:54] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 40/52 (76.9%) | elapsed=76.2s | DDR5_benign_dft.csv: cols=700
[2026-06-01 22:36:56] | [DROOP-adaptive CINTAS] | loading source telemetry | 41/52 (78.8%) | elapsed=78.2s | DDR5_benign_dj.csv
[2026-06-01 22:36:56] | [DROOP-adaptive CINTAS] | adding transient features | 41/52 (78.8%) | elapsed=78.4s | DDR5_benign_dj.csv: rows=10,000 cols=460
[2026-06-01 22:36:56] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 41/52 (78.8%) | elapsed=78.7s | DDR5_benign_dj.csv: cols=700
[2026-06-01 22:36:59] | [DROOP-adaptive CINTAS] | loading source telemetry | 42/52 (80.8%) | elapsed=80.9s | DDR5_benign_dp.csv
[2026-06-01 22:36:59] | [DROOP-adaptive CINTAS] | adding transient features | 42/52 (80.8%) | elapsed=81.1s | DDR5_benign_dp.csv: rows=10,000 cols=460
[2026-06-01 22:36:59] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 42/52 (80.8%) | elapsed=81.4s | DDR5_benign_dp.csv: cols=700
[2026-06-01 22:37:01] | [DROOP-adaptive CINTAS] | loading source telemetry | 43/52 (82.7%) | elapsed=83.4s | DDR5_benign_gl.csv
[2026-06-01 22:37:01] | [DROOP-adaptive CINTAS] | adding transient features | 43/52 (82.7%) | elapsed=83.6s | DDR5_benign_gl.csv: rows=10,000 cols=460
[2026-06-01 22:37:02] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 43/52 (82.7%) | elapsed=83.8s | DDR5_benign_gl.csv: cols=700
